year,launch_site,Longitude,Latitude,agency,launch_code,Category,Result
1957,PM,-119.12,34.12,USN,MS,Military,Success
1957,PM,-119.12,34.12,USN,MS,Military,Success
1957,PM,-119.12,34.12,USN,MS,Military,Success
1957,PM,-119.12,34.12,USN,MS,Military,Success
1957,PM,-119.12,34.12,USN,MS,Military,Success
1957,CC,-80.54,28.46,USN,MS,Military,Success
1957,CC,-80.54,28.46,USN,MS,Military,Success
1999,GTsP-4,45.8,48.5,PVO,MS,Military,Success
2004,GTsP-4,45.8,48.5,PVO,MS,Military,Success
2013,GTsP-4,45.8,48.5,PVO,MS,Military,Success
2013,GTsP-4,45.8,48.5,PVO,MS,Military,Success
1962,BALKH,72.87,46.38,PRO,MS,Military,Success
1962,BALKH,72.87,46.38,PRO,MS,Military,Success
1962,BALKH,72.87,46.38,PRO,MS,Military,Success
1962,BALKH,72.87,46.38,PRO,MS,Military,Success
1963,BALKH,72.87,46.38,PRO,MS,Military,Success
1963,BALKH,72.87,46.38,PRO,MS,Military,Success
1963,BALKH,72.87,46.38,PRO,MS,Military,Success
1963,BALKH,72.87,46.38,PRO,MS,Military,Success
1964,BALKH,72.87,46.38,PRO,MS,Military,Success
1964,BALKH,72.87,46.38,PRO,MS,Military,Success
1964,BALKH,72.87,46.38,PRO,MS,Military,Success
1965,BALKH,72.87,46.38,PRO,MS,Military,Success
1966,BALKH,72.87,46.38,PRO,MS,Military,Success
1966,BALKH,72.87,46.38,PRO,MS,Military,Success
1966,BALKH,72.87,46.38,PRO,MS,Military,Success
1966,BALKH,72.87,46.38,PRO,MS,Military,Success
1966,BALKH,72.87,46.38,PRO,MS,Military,Success
1967,BALKH,72.87,46.38,PRO,MS,Military,Success
1967,BALKH,72.87,46.38,PRO,MS,Military,Success
1971,BALKH,72.87,46.38,PRO,MS,Military,Success
1971,BALKH,72.87,46.38,PRO,MS,Military,Success
1971,BALKH,72.87,46.38,PRO,MS,Military,Success
1976,BALKH,72.87,46.38,PRO,MS,Military,Success
1977,BALKH,72.87,46.38,PRO,MS,Military,Success
1979,BALKH,72.87,46.38,PRO,MS,Military,Success
1979,BALKH,72.87,46.38,PRO,MS,Military,Success
1979,BALKH,72.87,46.38,PRO,MS,Military,Success
1982,BALKH,72.87,46.38,PRO,MS,Military,Success
1982,BALKH,72.87,46.38,PRO,MS,Military,Success
1982,BALKH,72.87,46.38,PRO,MS,Military,Success
1982,BALKH,72.87,46.38,PRO,MS,Military,Success
1982,BALKH,72.87,46.38,PRO,MS,Military,Success
1982,BALKH,72.87,46.38,PRO,MS,Military,Success
1982,BALKH,72.87,46.38,PRO,MS,Military,Success
1982,BALKH,72.87,46.38,PRO,MS,Military,Success
1984,BALKH,72.87,46.38,PRO,MS,Military,Success
1987,BALKH,72.87,46.38,PRO,MS,Military,Success
1987,BALKH,72.87,46.38,PRO,MS,Military,Success
1988,BALKH,72.87,46.38,PRO,MS,Military,Success
1988,BALKH,72.87,46.38,PRO,MS,Military,Success
1989,BALKH,72.87,46.38,PRO,MS,Military,Success
1989,BALKH,72.87,46.38,PRO,MS,Military,Success
1993,BALKH,72.87,46.38,PRO,MS,Military,Success
1999,BALKH,72.87,46.38,PRO,MS,Military,Success
2002,BALKH,72.87,46.38,PRO,MS,Military,Success
2014,GIK-1,40.5,62.9,PRO,MF,Military,Failure
2015,GIK-1,40.5,62.9,PRO,MF,Military,Failure
2015,GIK-1,40.5,62.9,PRO,MS,Military,Success
2016,GIK-1,40.5,62.9,PRO,MS,Military,Success
2016,GIK-1,40.5,62.9,PRO,MS,Military,Success
2018,GIK-1,40.5,62.9,PRO,MS,Military,Success
2018,GIK-1,40.5,62.9,PRO,MS,Military,Success
2007,CHAN,86.6,21.3,IDRDL,MS,Military,Success
2007,CHAN,86.6,21.3,IDRDL,MS,Military,Success
2010,CHAN,86.6,21.3,IDRDL,MS,Military,Success
2011,CHAN,86.6,21.3,IDRDL,MS,Military,Success
2011,CHAN,86.6,21.3,IDRDL,MS,Military,Success
2012,CHAN,86.6,21.3,IDRDL,MS,Military,Success
2012,CHAN,86.6,21.3,IDRDL,MS,Military,Success
2017,CHAN,86.6,21.3,IDRDL,MS,Military,Success
2017,CHAN,86.6,21.3,IDRDL,MS,Military,Success
1989,ANBAR,43.56,33.37,IQ,MF,Military,Failure
1952,HADC,-106.103,32.8496,ARDC,SF,Suborbital,Failure
1961,PM,-119.12,34.12,NMC,AS,Atmosphere,Success
1961,PM,-119.12,34.12,NMC,AS,Atmosphere,Success
1947,WS,-106.53,32.4,APL,SS,Suborbital,Success
1947,WS,-106.53,32.4,APL,SS,Suborbital,Success
1947,WS,-106.53,32.4,APL,SS,Suborbital,Success
1947,WS,-106.53,32.4,APL,SF,Suborbital,Failure
1948,WS,-106.53,32.4,APL,SS,Suborbital,Success
1948,WS,-106.53,32.4,APL,SS,Suborbital,Success
1948,WS,-106.53,32.4,APL,SS,Suborbital,Success
1948,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1948,WS,-106.53,32.4,APL,SS,Suborbital,Success
1948,WS,-106.53,32.4,USA,SS,Suborbital,Success
1949,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1949,WS,-106.53,32.4,NRL,SF,Suborbital,Failure
1949,WS,-106.53,32.4,APL,SS,Suborbital,Success
1949,POR22,-88.43,-11.1,APL,SS,Suborbital,Success
1949,POR22,-88.43,-11.1,APL,SS,Suborbital,Success
1949,POR22,-88.43,-11.1,APL,SF,Suborbital,Failure
1949,WS,-106.53,32.4,USA,SS,Suborbital,Success
1949,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1949,WS,-106.53,32.4,APL,SS,Suborbital,Success
1949,WS,-106.53,32.4,APL,SS,Suborbital,Success
1949,WS,-106.53,32.4,USA,SS,Suborbital,Success
1949,WS,-106.53,32.4,USA,SS,Suborbital,Success
1949,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1949,WS,-106.53,32.4,USA,SS,Suborbital,Success
1949,WS,-106.53,32.4,USA,SS,Suborbital,Success
1949,HADC,-106.103,32.8496,ARDC,SF,Suborbital,Failure
1950,BER1,-170,58,APL,SS,Suborbital,Success
1950,BER1,-170,58,APL,SS,Suborbital,Success
1950,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1950,WS,-106.53,32.4,USA,SS,Suborbital,Success
1950,WS,-106.53,32.4,USA,SS,Suborbital,Success
1950,HADC,-106.103,32.8496,ARDC,SF,Suborbital,Failure
1950,WS,-106.53,32.4,USA,SS,Suborbital,Success
1950,WS,-106.53,32.4,APL,SS,Suborbital,Success
1950,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1950,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1950,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1950,WS,-106.53,32.4,USA,SS,Suborbital,Success
1950,WS,-106.53,32.4,NRL,SF,Suborbital,Failure
1950,WS,-106.53,32.4,APL,SS,Suborbital,Success
1950,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1950,WS,-106.53,32.4,USA,SS,Suborbital,Success
1950,WS,-106.53,32.4,USA,SS,Suborbital,Success
1950,WS,-106.53,32.4,USA,SS,Suborbital,Success
1950,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1950,WS,-106.53,32.4,USA,SF,Suborbital,Failure
1950,WS,-106.53,32.4,USA,SS,Suborbital,Success
1950,WS,-106.53,32.4,USA,SS,Suborbital,Success
1950,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1950,WS,-106.53,32.4,USA,SS,Suborbital,Success
1951,WS,-106.53,32.4,APL,SS,Suborbital,Success
1951,WS,-106.53,32.4,APL,SS,Suborbital,Success
1951,WS,-106.53,32.4,APL,SS,Suborbital,Success
1951,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1951,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1951,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1951,HADC,-106.103,32.8496,ARDC,SF,Suborbital,Failure
1951,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1951,WS,-106.53,32.4,USA,SF,Suborbital,Failure
1951,WS,-106.53,32.4,USA,SS,Suborbital,Success
1951,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1951,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1951,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1951,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1951,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1951,WS,-106.53,32.4,USA,SS,Suborbital,Success
1951,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1951,WS,-106.53,32.4,USA,SS,Suborbital,Success
1951,WS,-106.53,32.4,USA,SS,Suborbital,Success
1952,HADC,-106.103,32.8496,ARDC,SF,Suborbital,Failure
1952,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1952,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1952,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1952,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1952,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1952,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1952,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1952,WS,-106.53,32.4,USA,SS,Suborbital,Success
1952,WS,-106.53,32.4,USA,SS,Suborbital,Success
1952,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1952,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1952,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1952,HADC,-106.103,32.8496,ARDC,SF,Suborbital,Failure
1952,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1952,WS,-106.53,32.4,USA,SS,Suborbital,Success
1952,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1952,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1952,WS,-106.53,32.4,USA,SS,Suborbital,Success
1952,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1952,WS,-106.53,32.4,USA,SS,Suborbital,Success
1952,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1953,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1953,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1953,WS,-106.53,32.4,USA,SS,Suborbital,Success
1953,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1953,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1953,WS,-106.53,32.4,USA,SS,Suborbital,Success
1953,WS,-106.53,32.4,USA,SS,Suborbital,Success
1953,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1953,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1953,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1953,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1953,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1953,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1953,WS,-106.53,32.4,USA,SS,Suborbital,Success
1953,WS,-106.53,32.4,USA,SS,Suborbital,Success
1953,HADC,-106.103,32.8496,ARDC,SF,Suborbital,Failure
1953,WS,-106.53,32.4,USA,SS,Suborbital,Success
1953,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1953,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1953,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1953,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1953,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1953,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1954,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1954,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1954,WS,-106.53,32.4,NRL,SF,Suborbital,Failure
1954,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1954,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1954,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1954,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1954,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1954,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1955,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1955,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1955,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1955,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1955,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1955,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1955,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1955,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1955,HADC,-106.103,32.8496,USAF,SF,Suborbital,Failure
1955,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1955,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1955,WS,-106.53,32.4,NRL,SF,Suborbital,Failure
1955,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1955,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1955,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1955,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1955,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1955,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1955,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1955,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1955,WS,-106.53,32.4,NRL,SF,Suborbital,Failure
1955,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1955,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1956,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1956,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1956,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1956,WS,-106.53,32.4,NRL,SF,Suborbital,Failure
1956,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1956,WS,-106.53,32.4,NRL,SF,Suborbital,Failure
1956,HADC,-106.103,32.8496,USAF,SF,Suborbital,Failure
1956,WS,-106.53,32.4,NRL,SF,Suborbital,Failure
1956,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1956,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1956,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1956,WS,-106.53,32.4,NRL,SF,Suborbital,Failure
1956,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1956,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1956,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1956,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1956,HADC,-106.103,32.8496,USAF,SF,Suborbital,Failure
1956,WS,-106.53,32.4,USA,SS,Suborbital,Success
1956,WS,-106.53,32.4,USA,SS,Suborbital,Success
1956,FC,-93.8203,58.7343,USA,SS,Suborbital,Success
1956,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1956,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1956,FC,-93.8203,58.7343,NRL,SF,Suborbital,Failure
1956,FC,-93.8203,58.7343,USA,SS,Suborbital,Success
1956,FC,-93.8203,58.7343,NRL,SS,Suborbital,Success
1956,FC,-93.8203,58.7343,NRL,SS,Suborbital,Success
1956,FC,-93.8203,58.7343,NRL,SS,Suborbital,Success
1956,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1957,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1957,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1957,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1957,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1957,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1957,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1957,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1957,HADC,-106.103,32.8496,ARDC,SS,Suborbital,Success
1957,FC,-93.8203,58.7343,NRL,SS,Suborbital,Success
1957,FC,-93.8203,58.7343,NRL,SF,Suborbital,Failure
1957,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1957,HADC,-106.103,32.8496,USAF,SF,Suborbital,Failure
1957,FC,-93.8203,58.7343,USA,SS,Suborbital,Success
1957,FC,-93.8203,58.7343,USA,SS,Suborbital,Success
1957,FC,-93.8203,58.7343,NRL,SS,Suborbital,Success
1957,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1957,FC,-93.8203,58.7343,USA,SS,Suborbital,Success
1957,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1957,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1957,FC,-93.8203,58.7343,USA,SS,Suborbital,Success
1957,FC,-93.8203,58.7343,USA,SS,Suborbital,Success
1957,FC,-93.8203,58.7343,USA,SS,Suborbital,Success
1957,FC,-93.8203,58.7343,USAF,SS,Suborbital,Success
1957,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1957,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1957,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1957,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1957,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1957,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1957,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1957,HADC,-106.103,32.8496,USAF,SF,Suborbital,Failure
1957,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1957,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1957,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1957,FC,-93.8203,58.7343,USA,SS,Suborbital,Success
1957,FC,-93.8203,58.7343,USA,SS,Suborbital,Success
1958,FC,-93.8203,58.7343,NRL,SS,Suborbital,Success
1958,FC,-93.8203,58.7343,USA,SS,Suborbital,Success
1958,FC,-93.8203,58.7343,USA,SS,Suborbital,Success
1958,FC,-93.8203,58.7343,NRL,SS,Suborbital,Success
1958,FC,-93.8203,58.7343,NRL,SS,Suborbital,Success
1958,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1958,FC,-93.8203,58.7343,NRL,SS,Suborbital,Success
1958,FC,-93.8203,58.7343,NRL,SS,Suborbital,Success
1958,FC,-93.8203,58.7343,NRL,SS,Suborbital,Success
1958,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1958,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1958,FC,-93.8203,58.7343,NRL,SS,Suborbital,Success
1958,FC,-93.8203,58.7343,NRL,SS,Suborbital,Success
1958,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1958,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1958,FC,-93.8203,58.7343,USAF,SS,Suborbital,Success
1958,FC,-93.8203,58.7343,USAF,SS,Suborbital,Success
1958,FC,-93.8203,58.7343,USAF,SS,Suborbital,Success
1958,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1958,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1958,FC,-93.8203,58.7343,USAF,SS,Suborbital,Success
1958,FC,-93.8203,58.7343,USAF/BRL,SS,Suborbital,Success
1958,FC,-93.8203,58.7343,USAF/BRL,SS,Suborbital,Success
1958,FC,-93.8203,58.7343,NRL,SS,Suborbital,Success
1958,FC,-93.8203,58.7343,NRL,SS,Suborbital,Success
1958,FC,-93.8203,58.7343,NRL,SS,Suborbital,Success
1958,FC,-93.8203,58.7343,NRL,SS,Suborbital,Success
1958,FC,-93.8203,58.7343,NRL,SS,Suborbital,Success
1958,FC,-93.8203,58.7343,USAF/BRL,SS,Suborbital,Success
1958,FC,-93.8203,58.7343,NRL/BRL,SF,Suborbital,Failure
1958,FC,-93.8203,58.7343,NRL/BRL,SS,Suborbital,Success
1959,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1959,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1959,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1959,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1959,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1959,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1959,WS,-106.53,32.4,USAF,SF,Suborbital,Failure
1959,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1959,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1959,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1959,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1959,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1959,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1959,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1959,HADC,-106.103,32.8496,USAF,SS,Suborbital,Success
1959,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1959,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1959,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1959,FC,-93.8203,58.7343,NASA,SS,Suborbital,Success
1959,FC,-93.8203,58.7343,NASA,SS,Suborbital,Success
1959,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1959,FC,-93.8203,58.7343,NASA,SS,Suborbital,Success
1959,FC,-93.8203,58.7343,NASA,SF,Suborbital,Failure
1959,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1959,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1959,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1959,FC,-93.8203,58.7343,USAF,SS,Suborbital,Success
1959,FC,-93.8203,58.7343,USAF,SS,Suborbital,Success
1959,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1959,FC,-93.8203,58.7343,USAF,SS,Suborbital,Success
1959,FC,-93.8203,58.7343,USAF,SS,Suborbital,Success
1959,FC,-93.8203,58.7343,USAF,SF,Suborbital,Failure
1959,FC,-93.8203,58.7343,USAF,SF,Suborbital,Failure
1959,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1960,EGL,-86.74,30.38,USAF,SS,Suborbital,Success
1960,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1960,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1960,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1960,EGL,-86.74,30.38,USAF,SS,Suborbital,Success
1960,WI,-75.48,37.83,NASA,SF,Suborbital,Failure
1960,FC,-93.8203,58.7343,USAF,SS,Suborbital,Success
1960,EGL,-86.74,30.38,USAF,SS,Suborbital,Success
1960,FC,-93.8203,58.7343,NASA,SS,Suborbital,Success
1960,WI,-75.48,37.83,NASA,SS,Suborbital,Success
1960,EGL,-86.74,30.38,USAF,SS,Suborbital,Success
1960,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1960,EGL,-86.74,30.38,USAF,SS,Suborbital,Success
1960,WI,-75.48,37.83,NASA,SS,Suborbital,Success
1960,WI,-75.48,37.83,NASA,SS,Suborbital,Success
1960,WI,-75.48,37.83,NASA,SS,Suborbital,Success
1960,EGL,-86.74,30.38,USAF,SS,Suborbital,Success
1960,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1960,WI,-75.48,37.83,NASA,SS,Suborbital,Success
1960,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1960,FC,-93.8203,58.7343,NASA,SS,Suborbital,Success
1960,WI,-75.48,37.83,NASA,SS,Suborbital,Success
1960,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1960,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1960,EGL,-86.74,30.38,USAF,SF,Suborbital,Failure
1960,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1960,WI,-75.48,37.83,NASA,SS,Suborbital,Success
1960,EGL,-86.74,30.38,USAF,SS,Suborbital,Success
1960,WI,-75.48,37.83,NASA,SS,Suborbital,Success
1960,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1960,EGL,-86.74,30.38,USAF,SS,Suborbital,Success
1960,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1960,FC,-93.8203,58.7343,NASA,SS,Suborbital,Success
1960,FC,-93.8203,58.7343,NASA,SS,Suborbital,Success
1960,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1960,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1960,FC,-93.8203,58.7343,NASA,SS,Suborbital,Success
1960,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1960,WI,-75.48,37.83,NASA,SS,Suborbital,Success
1960,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1960,WI,-75.48,37.83,NASA,SS,Suborbital,Success
1960,FC,-93.8203,58.7343,NASA,SS,Suborbital,Success
1960,FC,-93.8203,58.7343,NASA,SS,Suborbital,Success
1960,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1960,FC,-93.8203,58.7343,USAF,SS,Suborbital,Success
1961,EGL,-86.74,30.38,USAF,SS,Suborbital,Success
1961,WI,-75.48,37.83,NASA,SS,Suborbital,Success
1961,EGL,-86.74,30.38,USAF,SS,Suborbital,Success
1961,EGL,-86.74,30.38,USAF,SS,Suborbital,Success
1961,WI,-75.48,37.83,NASA,SS,Suborbital,Success
1961,WI,-75.48,37.83,NASA,SS,Suborbital,Success
1961,WI,-75.48,37.83,NASA,SS,Suborbital,Success
1961,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1961,WI,-75.48,37.83,NASA,SS,Suborbital,Success
1961,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1961,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1961,FC,-93.8203,58.7343,NASA,SS,Suborbital,Success
1961,FC,-93.8203,58.7343,NASA,SS,Suborbital,Success
1961,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1961,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1961,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1961,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1961,WI,-75.48,37.83,NASA,SS,Suborbital,Success
1961,WI,-75.48,37.83,NASA,SS,Suborbital,Success
1961,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1961,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1961,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1961,FC,-93.8203,58.7343,NASA,SS,Suborbital,Success
1961,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1961,WI,-75.48,37.83,NASA,SS,Suborbital,Success
1961,FC,-93.8203,58.7343,NASA,SS,Suborbital,Success
1961,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1961,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1961,FC,-93.8203,58.7343,NASA,SS,Suborbital,Success
1961,FC,-93.8203,58.7343,NASA,SS,Suborbital,Success
1961,WI,-75.48,37.83,NASA,SS,Suborbital,Success
1961,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1961,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1961,FC,-93.8203,58.7343,NASA,SS,Suborbital,Success
1961,FC,-93.8203,58.7343,NASA,SS,Suborbital,Success
1961,WS,-106.53,32.4,NRL,SS,Suborbital,Success
1961,EGL,-86.74,30.38,USAF,SS,Suborbital,Success
1961,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1961,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1961,WI,-75.48,37.83,NASA,SS,Suborbital,Success
1962,WI,-75.48,37.83,NASA,SS,Suborbital,Success
1962,WS,-106.53,32.4,USAF,SS,Suborbital,Success
1962,WI,-75.48,37.83,NASA,SF,Suborbital,Failure
1962,WI,-75.48,37.83,NASA,SS,Suborbital,Success
1962,WS,-106.53,32.4,USAF,SS,Suborbital,Success
